ID,Team,Game,Date,Home,Opponent,WINorLOSS,TeamPoints,OpponentPoints,FieldGoals,X3PointShots,FreeThrows.,OffRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,TotalFouls,Opp.FieldGoals,Opp.3PointShots,Opp.FreeThrows,Opp.OffRebounds,Opp.TotalRebounds,Opp.Assists,Opp.Steals,Opp.Blocks,Opp.Turnovers,Opp.TotalFouls
201,BOS,20,2014/12/10,Away,CHO,L,87,96,0.437,0.217,0.6,6,45,26,3,1,14,27,0.417,0.214,0.793,7,44,18,5,3,10,14
211,BOS,21,2014/12/12,Home,NYK,L,95,101,0.435,0.318,0.778,12,41,28,3,3,17,18,0.494,0.375,0.833,11,40,26,13,5,13,20
221,BOS,22,2014/12/15,Away,PHI,W,105,87,0.442,0.24,0.657,16,52,26,15,5,22,23,0.355,0.143,0.81,16,48,19,11,9,22,28
231,BOS,23,2014/12/17,Home,ORL,W,109,92,0.55,0.368,0.778,7,42,25,9,8,14,16,0.435,0.263,0.867,10,36,17,8,1,12,16
241,BOS,24,2014/12/19,Home,MIN,W,114,98,0.565,0.348,0.714,12,43,29,9,6,13,20,0.452,0.5,0.5,15,37,23,8,5,13,13
251,BOS,25,2014/12/21,Away,MIA,L,84,100,0.398,0.261,0.8,14,42,22,6,4,15,18,0.474,0.286,0.769,6,38,18,9,3,8,14
261,BOS,26,2014/12/23,Away,ORL,L,95,100,0.388,0.304,0.759,9,45,22,10,4,12,21,0.47,0.389,0.652,7,45,23,7,4,14,21
271,BOS,27,2014/12/26,Home,BRK,L,107,109,0.517,0.375,0.727,5,37,32,8,3,14,23,0.494,0.333,0.714,13,43,19,9,3,15,10
281,BOS,28,2014/12/27,Away,WAS,L,88,101,0.405,0.25,0.75,8,36,17,10,2,18,15,0.5,0.385,0.6,9,48,28,11,4,18,24
291,BOS,29,2014/12/31,Home,SAC,W,106,84,0.468,0.238,0.867,9,49,32,9,7,11,23,0.368,0.133,0.643,11,46,12,9,5,16,17
301,BOS,30,2015/1/2,Home,DAL,L,101,119,0.427,0.353,0.684,9,38,22,6,2,12,21,0.469,0.481,0.941,16,52,24,8,1,11,21
311,BOS,31,2015/1/3,Away,CHI,L,104,109,0.45,0.294,0.818,10,45,26,9,6,20,28,0.37,0.214,0.725,24,59,19,10,9,16,14
321,BOS,32,2015/1/5,Home,CHO,L,95,104,0.396,0.389,0.696,10,33,22,8,7,6,23,0.487,0.316,0.957,12,48,22,2,10,15,22
331,BOS,33,2015/1/7,Away,BRK,W,89,81,0.398,0.278,0.824,11,41,22,8,2,6,26,0.405,0.214,0.692,11,50,18,3,6,17,18
341,BOS,34,2015/1/9,Away,IND,L,103,107,0.398,0.294,0.688,13,50,25,10,7,10,27,0.37,0.391,0.882,16,56,21,5,9,16,18
351,BOS,35,2015/1/10,Away,TOR,L,96,109,0.47,0.333,0.6,9,43,23,7,3,18,21,0.451,0.433,0.737,15,48,23,8,10,13,20
361,BOS,36,2015/1/12,Home,NOP,W,108,100,0.42,0.333,0.839,17,44,24,8,5,11,23,0.413,0.4,0.865,16,45,20,7,6,18,23
371,BOS,37,2015/1/14,Home,ATL,L,91,105,0.41,0.333,0.857,13,40,22,5,2,16,23,0.493,0.345,0.852,6,35,23,13,7,12,12
381,BOS,38,2015/1/16,Home,CHI,L,103,119,0.494,0.313,0.875,11,45,29,5,4,13,16,0.539,0.52,0.833,8,36,28,12,6,7,14
391,BOS,39,2015/1/19,Away,LAC,L,93,102,0.393,0.414,0.714,12,43,24,6,2,13,14,0.476,0.429,0.789,10,44,27,6,10,11,14
401,BOS,40,2015/1/22,Away,POR,W,90,89,0.448,0.368,0.714,10,47,23,8,5,16,19,0.371,0.321,0.737,13,45,16,8,6,10,13
411,BOS,41,2015/1/23,Away,DEN,W,100,99,0.493,0.429,0.63,8,41,20,8,6,14,24,0.416,0.286,0.731,17,48,20,8,2,12,19
421,BOS,42,2015/1/25,Away,GSW,L,111,114,0.432,0.357,0.704,13,48,23,5,3,14,21,0.472,0.348,0.88,9,47,29,9,3,13,20
431,BOS,43,2015/1/26,Away,UTA,W,99,90,0.473,0.421,0.913,5,37,18,8,3,14,15,0.427,0.375,0.579,10,39,18,9,10,14,23
441,BOS,44,2015/1/28,Away,MIN,L,98,110,0.462,0.304,0.778,9,39,22,9,4,13,22,0.494,0.375,0.875,6,45,18,6,4,11,11
451,BOS,45,2015/1/30,Home,HOU,L,87,93,0.356,0.292,0.696,14,48,14,8,5,11,23,0.417,0.267,0.75,12,50,22,6,4,16,18
461,BOS,46,2015/2/1,Home,MIA,L,75,83,0.37,0.211,0.611,8,40,24,7,3,13,19,0.416,0.19,0.714,10,46,18,7,9,16,18
471,BOS,47,2015/2/3,Away,NYK,W,108,97,0.545,0.25,0.783,11,39,23,6,0,15,11,0.494,0.35,0.727,12,35,22,7,2,13,18
481,BOS,48,2015/2/4,Home,DEN,W,104,100,0.404,0.429,0.706,19,51,27,10,3,13,21,0.413,0.167,0.909,14,48,18,9,6,15,19
491,BOS,49,2015/2/6,Home,PHI,W,107,96,0.453,0.37,0.76,11,53,27,8,4,10,24,0.443,0.44,0.484,11,44,22,6,3,17,19
501,BOS,50,2015/2/7,Away,MIL,L,93,96,0.419,0.241,0.7,11,44,20,7,1,11,19,0.493,0.4,0.737,6,40,21,6,6,12,20
511,BOS,51,2015/2/11,Home,ATL,W,89,88,0.323,0.323,0.95,16,56,21,7,4,10,23,0.423,0.241,0.652,5,44,23,6,5,12,17
521,BOS,52,2015/2/20,Away,SAC,L,101,109,0.4,0.273,0.577,19,40,24,14,3,11,23,0.482,0.364,0.808,17,57,26,6,5,24,19
531,BOS,53,2015/2/22,Away,LAL,L,111,118,0.429,0.242,0.704,13,48,27,9,5,16,31,0.512,0.389,0.658,6,46,22,8,4,17,27
541,BOS,54,2015/2/23,Away,PHO,W,115,110,0.438,0.483,0.767,9,42,26,13,1,15,14,0.454,0.281,0.813,15,50,25,9,7,17,24
551,BOS,55,2015/2/25,Home,NYK,W,115,94,0.506,0.452,0.85,8,46,29,6,1,13,26,0.415,0.095,0.774,9,41,19,6,4,13,20
561,BOS,56,2015/2/27,Home,CHO,W,106,98,0.417,0.4,0.8,14,47,24,8,5,8,15,0.451,0.476,0.824,8,48,19,8,7,16,18
571,BOS,57,2015/3/1,Home,GSW,L,101,106,0.367,0.258,0.765,21,60,21,4,3,8,17,0.421,0.353,0.824,15,55,19,4,8,10,18
581,BOS,58,2015/3/3,Away,CLE,L,79,110,0.352,0.25,0.769,11,42,23,4,3,14,21,0.483,0.357,1,12,52,28,10,6,11,18
591,BOS,59,2015/3/4,Home,UTA,W,85,84,0.375,0.296,0.55,12,39,21,5,3,3,20,0.453,0.158,0.619,11,51,21,1,4,13,19
601,BOS,60,2015/3/6,Away,NOP,W,104,98,0.456,0.435,0.88,7,37,19,8,1,11,17,0.475,0.381,0.933,9,45,22,5,6,18,15
611,BOS,61,2015/3/8,Away,ORL,L,98,103,0.393,0.441,0.813,18,48,24,9,3,14,23,0.437,0.318,0.667,18,56,20,8,8,15,15
621,BOS,62,2015/3/9,Away,MIA,W,100,90,0.448,0.24,0.941,16,43,17,7,2,9,25,0.42,0.235,0.824,5,32,15,5,2,13,17
631,BOS,63,2015/3/11,Home,MEM,W,95,92,0.435,0.296,0.765,12,36,28,11,5,16,16,0.474,0.417,1,10,41,21,11,4,21,19
641,BOS,64,2015/3/13,Home,ORL,W,95,88,0.43,0.385,0.55,10,47,19,7,4,16,23,0.425,0.3,0.5,10,50,20,9,4,19,21
651,BOS,65,2015/3/14,Away,IND,W,93,89,0.422,0.286,0.714,9,47,28,7,4,11,18,0.4,0.375,0.8,9,42,16,4,3,14,23
661,BOS,66,2015/3/16,Home,PHI,W,108,89,0.5,0.4,0.8,5,42,27,7,3,11,21,0.405,0.333,0.542,9,40,20,7,4,16,20
671,BOS,67,2015/3/18,Away,OKC,L,118,122,0.524,0.382,0.607,11,39,32,10,5,20,28,0.477,0.263,0.846,18,46,19,12,2,16,26
681,BOS,68,2015/3/20,Away,SAS,L,89,101,0.398,0.25,0.7,14,47,19,10,2,15,19,0.469,0.217,0.87,7,45,31,11,4,13,14
