Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
895,3794,35595,36.88,28.674,0.777494577,2011-04-03
2777,895,35596,140.91,111.318,0.789993613,2011-04-03
895,2204,35597,13.24,10.3,0.777945619,2011-04-03
293,895,35598,20.13,15.888,0.789269747,2011-04-03
895,4047,35599,10,7.8,0.78,2011-04-03
895,2204,35600,5,3.89,0.778,2011-04-03
293,895,35601,20.13,15.888,0.789269747,2011-04-03
895,2654,35602,16,12.48,0.78,2011-04-03
895,2654,35603,20.7,16.146,0.78,2011-04-03
895,2204,35604,31.76,24.709,0.777991184,2011-04-03
895,3794,35605,45.971,35.742,0.777490157,2011-04-03
895,646,35606,47.49,36.899,0.776984628,2011-04-03
895,151,35607,75.269,58.484,0.776999827,2011-04-03
895,293,35608,34,26.458,0.778176471,2011-04-03
895,2204,35609,50,38.9,0.778,2011-04-03
895,646,35610,16,12.432,0.777,2011-04-03
4213,646,35611,15,11.655,0.777,2011-04-03
4047,895,35612,10,7.88,0.788,2011-04-03
293,895,35613,30.26,23.856,0.788367482,2011-04-03
3529,151,35614,46,35.742,0.777,2011-04-03
4047,2429,35615,10,7.88,0.788,2011-04-03
3560,2204,35616,50,39.25,0.785,2011-04-03
1638,2204,35617,11.27,8.869,0.786956522,2011-04-03
895,293,35618,100,77.989,0.77989,2011-04-03
4047,293,35619,10,7.869,0.7869,2011-04-03
1638,293,35620,144.91,114.044,0.786998827,2011-04-03
2654,293,35621,84.94,67.017,0.78899223,2011-04-03
3535,293,35622,19,15.006,0.789789474,2011-04-03
2622,293,35623,6.15,4.858,0.789918699,2011-04-03
2540,646,35624,17.523,13.668,0.780003424,2011-04-03
2540,2981,35625,82.567,64.319,0.778991607,2011-04-03
3914,2496,35626,60,46.8,0.78,2011-04-04
3914,2981,35627,17.433,13.58,0.77898239,2011-04-04
3914,3535,35628,19,14.789,0.778368421,2011-04-04
3914,151,35629,403.567,313.571,0.776998615,2011-04-04
895,4047,35630,10,7.781,0.7781,2011-04-04
895,3966,35631,20.386,15.86,0.777984892,2011-04-04
895,151,35632,19.614,15.24,0.776996023,2011-04-04
53,4047,35633,10,7.771,0.7771,2011-04-04
53,151,35634,244.862,190.257,0.776996839,2011-04-04
53,722,35635,10,7.77,0.777,2011-04-04
53,31,35636,100,77.51,0.7751,2011-04-04
53,2496,35637,120,93,0.775,2011-04-04
53,31,35638,100,77.41,0.7741,2011-04-04
53,2486,35639,40,30.8,0.77,2011-04-04
53,3576,35640,113.909,87.709,0.769991836,2011-04-04
53,722,35641,20,15.4,0.77,2011-04-04
53,258,35642,10,7.7,0.77,2011-04-04
53,337,35643,46.948,36.149,0.769979552,2011-04-04
